,ACCESS-ESM1-5,CESM2,CNRM-ESM2-1,GFDL-ESM4,MPI-ESM1-2-LR,NorESM2-LM,UKESM,UVic-ESCM-2-10
62,16.14,15.9217,15.2012628343687,14.71,15.01,15.95,288.80691,288.243896484375
63,16.17,15.8983,15.3085262288528,14.72,15.04,15.46,288.82001,288.2768249511719
64,16.21,15.9149,15.2427803150388,14.67,15.12,15.58,289.02364,288.30877685546875
65,16.35,15.9407,15.1998032841423,14.9,15.18,15.86,289.04677,288.3388366699219
66,16.46,15.7854,15.3350265948139,15.07,15.43,15.86,289.18969,288.370361328125
67,16.36,15.8799,15.4307860325873,14.98,15.61,15.75,289.25699,288.4013977050781
68,16.09,16.0726,15.418515639226,14.85,15.15,16.04,289.44741,288.432373046875
69,16.33,16.1093,15.3740181270215,14.96,15.07,16.02,289.56655,288.4620666503906
70,16.37,16.1704,15.5271323352258,15.1,15.23,15.9,289.31382,288.4929504394531
71,16.57,16.1127,15.5798914804571,15.03,15.32,16.2,289.42218,288.5233154296875
72,16.49,16.0753,15.4627359546002,14.86,15.62,16.09,289.45081,288.5557556152344
73,16.5,16.1694,15.5891667690591,14.99,15.58,15.79,289.54031,288.58642578125
74,16.6,16.2446,15.6705950007248,15.17,15.42,15.91,289.5538,288.6180114746094
75,16.68,16.2195,15.6006445356014,15.04,15.51,16.09,289.66202,288.6492919921875
76,16.6,16.3178,15.6470763509409,15.31,15.69,16.04,289.65297,288.68145751953125
77,16.77,16.3356,15.6544679108047,15.28,15.72,15.94,289.60677,288.7154541015625
78,16.84,16.2229,15.9380389727766,15.07,15.68,16.11,289.83773,288.7479248046875
79,16.68,16.3154,15.9358851349198,15.21,15.61,16.21,290.06994,288.7807922363281
80,16.82,16.3632,15.9063180283497,15.29,15.61,16.11,289.8098,288.81304931640625
81,16.9,16.5168,15.9413937081999,15.32,15.58,16.1,289.92719,288.8447570800781
82,17.04,16.3173,15.8213272393311,15.49,15.63,16.03,289.90281,288.8770751953125
83,16.88,16.3128,15.9688029921715,15.54,15.81,16.13,289.98317,288.9085693359375
84,16.9,16.526,15.9793103112358,15.46,15.7,16.28,289.80625,288.94140625
85,16.99,16.5085,16.0620331478111,15.52,15.92,16.05,289.99057,288.9757995605469
86,16.91,16.6601,15.9096633272471,15.64,16.02,16.12,290.27091,289.0096130371094
87,16.92,16.8392,16.15665245086,15.39,15.96,16.18,290.33071,289.0443115234375
88,17.06,16.8059,16.2984187877378,15.41,15.83,16.04,290.21018,289.0782775878906
