Year,CESM2,CNRM-ESM2-1,MPI-ESM1-2-LR,NorESM2-LM,UKESM,ACCESS-ESM1-5,UVic-ESCM-2-10
0.0,-0.05891261723223806,0.07856540000005907,-0.02073000000001457,0.06650000000007594,0.08908590234983649,-0.06399999999996453,0.038088989257857975
1.0,0.06245555711996076,0.08528540000008888,-0.0015300000000024738,0.11650000000008731,0.09985260434984866,0.11600000000004229,0.060794067382857975
2.0,0.07081609761434038,0.11872140000008358,0.12067000000001826,0.20650000000011914,0.10222995934987011,0.10599999999999454,0.08026428222660797
3.0,-0.032943771628254126,0.08115440000005947,0.13247000000001208,0.016500000000121418,0.028940307349841987,-0.103999999999985,0.09875793457035797
4.0,-0.008634389095107053,0.12933440000006158,-0.04293000000001257,0.15650000000010778,0.15801173034981275,0.06600000000003092,0.11679382324223297
5.0,0.12700456693806927,0.06355040000005374,-0.03652999999997064,0.25650000000007367,0.20239463034982919,0.08600000000001273,0.13330383300785797
6.0,0.13565130466071196,0.1880974000000606,0.05727000000001681,0.14650000000011687,0.3613574143498681,0.06600000000003092,0.15213317871098297
7.0,0.37409897654589486,0.09386440000008633,0.24907000000001744,0.04650000000009413,0.32674945334986205,0.30600000000004,0.17377014160160797
8.0,0.39866823308034327,0.102153400000077,0.2938700000000267,-0.11349999999987403,0.2714355273498654,0.396000000000015,0.19366760253910797
9.0,0.4380724199371002,0.36260740000005853,0.16277000000002317,-0.09349999999989222,0.36258662034981626,0.27600000000001046,0.21289367675785797
10.0,0.4259561071425537,0.2984464000001026,0.11357000000003836,-0.08349999999990132,0.416087491349856,0.35599999999999454,0.23477478027348297
11.0,0.2738411788282633,0.19330440000010185,0.15807000000000926,0.06650000000007594,0.42752503134983044,0.28600000000000136,0.258731079101608
12.0,0.32549643757153035,0.34720840000005637,0.2644700000000171,0.11650000000008731,0.2324863843498406,0.5060000000000286,0.279483032226608
13.0,0.5025895114869172,0.4884694000000991,0.45407000000000153,0.2865000000001032,0.33568143634983016,0.42600000000004457,0.301730346679733
14.0,0.49578611752451707,0.4008594000000585,0.4822700000000282,0.4465000000000714,0.5173182973498456,0.4060000000000059,0.327395629882858
