ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
0.9856572151184082,-0.12239463536640036,-0.05485755205154419,0.6132392883300781,2.9165289961718983,2.0580477714538574,-0.20071688901845594,1.55295,0.09390426427125931,2.834013983087367
1.9286227226257324,0.1994380089263997,2.216779053211212,-0.09349441528320312,4.956287599709037,3.890951156616211,0.20807629508655393,2.52909,0.5257078409194946,4.772540259137165
3.0494942665100098,0.7949011483439995,4.1591227650642395,1.8054924011230469,6.327905225328706,3.613654136657715,0.7283086989839282,5.07297,1.2427196502685547,5.315435859794436
3.5759193897247314,1.9727776551599998,5.428656041622162,3.7974319458007812,7.2683829392849075,6.491036415100098,1.4040654708964215,8.282399999999999,2.1999447345733643,8.56182836481751
4.317920684814453,3.3004148597136,5.966376721858978,4.191989898681641,8.649206613033837,9.334162712097168,2.040433485446121,11.00376,3.373218059539795,8.946706241992924
4.710113048553467,5.2607316448656,7.0068177580833435,4.233303070068359,10.116351850246126,9.73691177368164,4.045165491515435,11.74326,4.717043876647949,11.869217414525343
7.115989685058594,6.8530243523472,8.04181045293808,5.835929870605469,11.49866012673664,10.34166145324707,4.931590660859874,13.69554,6.203496932983398,14.56147127812745
9.32114315032959,8.1888790297104,12.434164702892303,7.7751922607421875,13.327337128169676,13.236316680908203,6.255083975619363,17.03808,7.831215858459473,18.437329207242794
10.001408576965332,10.016735880686399,12.432349145412445,8.70263671875,14.531045969612343,16.8839054107666,7.767181306051304,19.47843,9.55864429473877,22.03344087087769
12.208476066589355,12.6982283895036,13.883405148983002,9.167510986328125,15.623307517621633,18.876178741455078,10.193234479281147,22.140629999999998,11.364728927612305,24.77579531340242
16.8695068359375,14.7558182051196,17.438574254512787,11.612045288085938,17.6382473658453,21.922195434570312,11.866678895714564,24.063329999999997,13.278923988342285,25.9813522816032
20.059520721435547,16.2038594575548,22.444574773311615,13.872547149658203,19.740496758667778,22.61719512939453,13.181920456995359,25.142999999999997,15.268805503845215,28.224876329252858
23.659523010253906,18.057568384619998,23.67538183927536,15.528377532958984,20.787132818780655,23.917936325073242,16.329696397405243,29.713109999999997,17.285459518432617,31.401077874492447
28.624717712402344,20.573313186765596,23.43319410085678,17.17620086669922,22.937312871748677,27.449851989746094,19.493355239384016,32.71548,19.349563598632812,34.186067294795095
31.860145568847656,22.681788207904795,25.680119454860687,19.87238311767578,25.441346067742003,30.995838165283203,21.258882031325342,34.32759,21.440616607666016,35.52206050713417
35.0257682800293,24.817723448623195,26.569688260555267,22.263309478759766,27.450237384900593,35.555686950683594,24.254760746125413,37.16727,23.570146560668945,37.80602082502801
38.6424674987793,26.873284874594393,29.2817160487175,22.64525604248047,29.637692986723707,38.417842864990234,26.27945464731338,41.45637,25.714773178100586,42.43321542017907
41.018707275390625,29.339761534005593,30.264341294765472,23.291240692138672,31.942348204582387,41.87689208984375,29.144941664462415,42.52125,27.92481231689453,49.06028880039676
