ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
0.3446294367313385,0.4041264057159424,-9.234375953674316,0.4502323567867279,0.40329062938690186,0.44138023257255554,0.7254127194886107,0.9033,-0.695571780204773,0.27748708319371684
1.1697652339935303,1.3749301433563232,-7.986090183258057,1.5855655372142792,1.3157002925872803,1.2394375801086426,1.9877793502257535,2.0069999999999997,-1.1960461139678955,1.139870948078175
2.4273836612701416,2.6502575874328613,-6.532730579376221,2.8320405185222626,2.6036829948425293,2.249809980392456,3.599595483284717,3.1180999999999996,-1.2388074398040771,2.6239085560122613
4.10529899597168,4.303720474243164,-4.996534824371338,4.112747758626938,4.2180280685424805,3.4570250511169434,5.285708426432904,4.4441,-0.9157767295837402,4.097794737302317
5.980447769165039,5.9982428550720215,-3.3208298683166504,5.654827564954758,6.0007476806640625,4.837359428405762,7.223950808849254,5.8618999999999994,-0.28972071409225464,5.83865308240728
7.961603164672852,7.620504379272461,-1.3416523933410645,7.494441956281662,7.927143573760986,6.424233913421631,9.364380233901539,7.578099999999999,0.5824642181396484,7.59548827950927
10.073077201843262,9.284667015075684,0.7074117660522461,9.578019589185715,9.940690994262695,8.284740447998047,11.302916875274537,9.4445,1.6673527956008911,9.398624964990928
12.208884239196777,11.16557502746582,2.8736159801483154,11.746076077222824,11.94056224822998,10.221776008605957,13.250395176844766,11.3055,2.934164524078369,11.279930197856991
14.476445198059082,13.15085506439209,4.949758052825928,13.978678911924362,14.121699333190918,12.12177848815918,15.388896584632217,13.2887,4.354164123535156,13.22502634638351
16.842601776123047,15.269679069519043,7.573468208312988,16.334789961576462,16.435855865478516,14.064417839050293,17.644800156819546,15.3462,5.909753799438477,15.313443382641445
18.979806900024414,17.261154174804688,10.196243286132812,18.552507132291794,18.74613380432129,16.08272933959961,19.86148479662623,17.5647,7.585256576538086,17.735646613613987
21.213590621948242,19.41716766357422,12.65656852722168,20.79566118121147,21.144271850585938,18.056028366088867,22.33990230188804,19.949299999999997,9.3623685836792,20.154716468568274
23.340211868286133,21.72148895263672,14.921616554260254,23.15370938181877,23.58082389831543,20.207983016967773,24.628847720511086,22.246599999999997,11.232156753540039,22.688721390740547
25.377788543701172,23.98318099975586,17.546348571777344,25.55532404780388,26.092241287231445,22.425010681152344,27.024975225658817,24.7001,13.181426048278809,25.25011670688883
27.729656219482422,26.176422119140625,20.34374237060547,27.929949015378952,28.635982513427734,24.589618682861328,29.4096717612996,27.1421,15.203657150268555,27.948479474632304
30.15018081665039,28.55348777770996,23.297710418701172,30.41531988978386,31.221580505371094,26.788135528564453,31.697641940363898,29.505399999999998,17.294641494750977,30.680747059914044
32.52705383300781,30.91253662109375,26.413938522338867,33.0219552218914,33.72927474975586,28.879669189453125,33.96127480189535,31.928099999999997,19.44709014892578,33.41384942676629
34.954769134521484,33.3007698059082,29.451215744018555,35.76823541522026,36.243202209472656,31.119192123413086,36.58042902895988,34.40219999999999,21.66221809387207,35.766474724649214
37.44459533691406,35.70175552368164,32.55006790161133,38.48864504694939,38.7640266418457,33.396324157714844,39.12434932444048,37.02799999999999,23.928970336914062,38.46395623058343
39.89904022216797,38.14047622680664,35.43412399291992,41.06390234827995,41.433719635009766,35.99685287475586,41.84959878904204,39.64009999999999,26.2413272857666,41.007387104984105
42.29594421386719,40.466060638427734,38.370643615722656,43.93188163638115,44.09539794921875,38.51642990112305,44.55664960240628,42.25839999999999,28.59250259399414,43.266904199875235
44.786842346191406,42.89742660522461,41.21247482299805,47.021846264600754,46.76846694946289,40.96898651123047,47.04536751961661,44.951199999999986,30.981616973876953,45.606439551851366
47.23036575317383,45.27081298828125,44.234107971191406,49.889195173978806,49.423194885253906,43.20046615600586,49.753808542282115,47.32429999999999,33.40899658203125,48.075485886513206
49.794288635253906,47.68373107910156,47.24094009399414,52.60072609782219,52.035438537597656,45.476593017578125,52.52952641927806,49.55679999999999,35.86482620239258,50.71229485398333
52.49113464355469,50.27711868286133,50.1837272644043,55.50719973444939,54.60348129272461,47.90012741088867,55.16994033770808,51.774399999999986,38.35075378417969,53.4159425057618
55.057125091552734,52.90617370605469,53.318973541259766,58.34902164340019,57.22697067260742,50.35738754272461,57.81625848642897,53.85109999999999,40.86166763305664,55.82426767207643
57.551055908203125,55.426082611083984,56.41598129272461,61.462161511182785,59.85364532470703,52.923927307128906,60.43637585679651,56.26549999999999,43.39398956298828,58.189355564600696
60.11869430541992,57.86711883544922,59.12509536743164,64.63215753436089,62.52021408081055,55.622642517089844,63.28754276563143,58.76809999999999,45.951438903808594,60.53739009740129
62.719356536865234,60.2528190612793,61.784236907958984,67.55995580554008,65.23615264892578,58.131011962890625,66.13187200677302,61.27029999999999,48.527286529541016,62.89211779508956
65.28307342529297,62.52486801147461,64.58855438232422,70.51339694857597,67.9769058227539,60.33165740966797,68.75817553021093,63.74309999999999,51.12318801879883,65.1322165098924
67.92201232910156,65.04908752441406,67.33210754394531,73.42602106928825,70.67609405517578,62.681480407714844,71.55556343750845,66.0962,53.73771667480469,67.38786357670375
70.49449920654297,67.5960693359375,70.55596160888672,76.45535203814507,73.39612579345703,65.22624206542969,74.23685989544269,68.5077,56.3817138671875,70.0493904672666
73.03958892822266,70.12777709960938,73.40331268310547,79.40992757678032,76.11294555664062,67.67546081542969,76.72363344569263,70.9288,59.0418815612793,72.62464641039553
