ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
360.59625,362.8369001642814,359.86365,370.5945129394531,361.67585940931144,[357.82678],365.6291489265565,364.0097,374.94373,343.6564387703632
362.42123,364.8724835806597,361.53757,372.9925537109375,363.87955271057115,[359.8899],367.24445522368524,365.9286,377.27313,344.68531318669875
364.26373,367.05275715480786,364.71756,375.7861022949219,365.8213729327313,[361.60413],369.2686375909172,368.6915,379.58517,346.3324602512439
366.23425,369.10600018388976,366.27075,378.04052734375,367.9558335991674,[363.1112],370.97256774329406,370.5056,381.88333,349.15812024309895
368.32455,371.26223966951375,368.03842,379.93365478515625,370.14598007756854,[364.6136],372.6847860060966,372.4448,384.17566,350.91425320928903
371.00467,373.2568531602932,370.82968,382.23065185546875,372.2037344139121,[367.6186],374.77195940850044,375.162,386.4706,352.8951308159539
373.04254,375.550220261073,372.93396,385.21209716796875,374.1820629126432,[370.2125],377.0486187877387,378.2248,388.76358,355.0716539311912
375.6379,377.4880734241058,374.8494,387.74822998046875,376.1797571709092,[371.16528],379.3137764210073,380.5089,391.05957,357.62144366350816
378.07397,379.5071273302274,376.79877,389.8653564453125,378.03570716485257,[372.22556],381.395491903204,382.465,393.33496,358.90660133142933
380.35797,381.66346647741665,380.17392,392.35009765625,379.9628947058944,[374.388],382.79516253606283,384.9966,395.62198,360.76403951960214
382.9301,383.81273604609135,382.08417,395.1495056152344,382.02777801244713,[376.91718],384.4784827469448,387.6326,397.8991,362.7189142259663
385.0931,385.4736870570591,383.98465,397.2431640625,383.94673208061687,[378.04523],386.5241138793993,389.3731,400.1733,364.34459907682555
387.40097,387.6288028346192,385.31024,399.2271423339844,386.0475397507643,[379.56268],388.3576541934726,390.6878,402.45114,366.3547538661167
390.56177,389.87473881711605,386.65472,401.5650939941406,388.0867392802431,[382.1469],390.08545157256725,392.9723,404.72864,368.38247091558304
393.86945,392.285097061777,388.01227,404.2513427734375,389.93526975571206,[385.2891],392.39480010098504,394.8661,406.9962,370.3759090845192
396.14948,393.88104060666865,390.69006,406.9538879394531,391.83900771407775,[386.19885],393.4427022915918,397.1928,409.26904,372.5626273272822
398.07986,395.88197001107227,392.87024,409.3387145996094,393.97329055081974,[387.4778],395.4712297575068,399.522,411.5323,373.2662375827305
400.94275,397.8982367753278,394.30716,411.401611328125,395.773940484232,[389.90045],396.8570230751356,401.579,413.79642,374.25003810470395
403.23563,399.9378263502292,395.5565,413.71881103515625,397.61538945631844,[391.46503],398.80108489166884,403.3953,416.0602,375.4989186746357
405.34637,401.7935319775177,397.93356,416.40240478515625,399.3386419238539,[392.7639],400.6899027189638,404.8871,418.3321,376.5101348506824
407.11343,403.29321606115315,400.98056,418.7652282714844,401.17404998227414,[394.0392],402.351340482937,407.0459,420.60107,378.16921625576646
409.0135,405.5795429675641,403.26514,420.5495910644531,403.01741997731057,[396.3372],404.5884193940433,409.0434,422.8709,381.2386017793306
410.91974,407.47952835960405,405.18155,422.43890380859375,404.7008218684706,[398.2517],406.1259481369475,411.5154,425.13077,383.8520262519769
413.1499,409.1148601758998,406.23416,424.13037109375,406.4716986468411,[399.0318],407.6487303211066,414.106,427.3963,385.0342384832684
415.25586,411.0620760513199,408.29797,426.2177734375,408.4572148516194,[399.99792],409.4642736120149,415.935,429.65405,386.25839911196977
417.9754,412.89397849266464,410.58844,429.2735290527344,410.1950947490651,[401.54355],411.1124263499851,418.2754,431.9156,388.1822845554953
421.07993,414.91974390719884,411.5038,431.6126708984375,411.90480661846516,[405.43552],413.3949624372895,421.5179,434.17136,389.1240719198733
423.76065,416.68554636023936,411.86053,433.7797546386719,413.6978578560308,[408.158],415.1084724254212,424.456,436.4346,390.1920654688143
427.32745,418.543987358073,413.9849,435.90167236328125,415.52884468493227,[409.03012],417.36515203087157,426.3618,438.69992,391.95127603063156
429.69595,421.2093377883936,415.81802,438.545166015625,417.451915438451,[410.7019],418.9384150484546,428.3509,440.972,394.6947673989121
431.96793,423.0314122163735,418.69354,440.76629638671875,419.48264633265615,[413.20966],420.5525877691453,430.8765,443.25427,396.91932099586444
434.41595,424.7469253399952,420.71622,442.4781799316406,421.5268107198259,[414.84875],422.4135531767851,433.7563,445.55682,399.30962891162653
437.40527,426.63774737639733,422.7427,444.7550964355469,423.50149768329726,[416.39722],424.27379400910104,436.4969,447.86337,401.7482229071686
440.73166,428.92249920847973,424.38635,447.5091247558594,425.32816769274984,[417.57065],426.49490865149716,438.4733,450.17383,403.20999681371376
443.53168,430.7858792001949,425.43246,450.4255676269531,426.9604833603664,[418.9832],428.08950595101504,440.324,452.48337,405.139570337398
444.74643,432.48386543315144,428.27695,452.7531433105469,428.74256917919,[420.56567],430.0699312881405,442.6624,454.80627,406.44948237823337
446.23935,434.52096362222846,429.89633,454.41943359375,430.6298683149344,[423.1508],432.18176081537564,444.7377,457.13132,408.59307002410515
448.18503,436.5641419575412,430.7783,456.4757080078125,432.3342031612753,[425.92734],433.0970839434672,446.6021,459.4692,410.8040061732686
450.32672,438.4288137803619,433.81497,459.6233825683594,434.1626621577482,[427.49725],435.1734318655502,449.1386,461.798,412.8461869157026
452.77344,440.37730057543325,438.07483,462.0330505371094,436.2988457976813,[428.61935],436.7645920473587,451.5971,464.13007,413.5141236042991
455.66486,442.35552913777013,438.59842,463.9956970214844,438.2678517223111,[430.68857],438.6721774049947,453.9207,466.45358,414.3903988293821
457.81168,444.24400948708717,438.64218,466.56610107421875,440.0256773666165,[431.99216],440.12295611988105,456.1402,468.7887,416.1823164621721
459.97812,446.2476628412591,441.2192,469.4506530761719,441.9673719179971,[434.03146],441.9444517943355,458.9448,471.1283,418.2012605922548
462.15982,448.03233706785306,444.948,471.706298828125,443.64572970599966,[436.47363],444.1610213861432,461.2158,473.46927,421.4859164116224
464.79352,450.0718665562721,445.56158,473.8985595703125,445.0852621493396,[438.06995],446.05687007859706,462.9703,475.7962,424.14371044668957
467.9308,451.88519571959887,445.73273,476.65802001953125,446.8901249699407,[439.42307],448.005302247134,465.7083,478.13058,425.88042948359316
471.15842,453.76857352311674,448.67245,479.12078857421875,448.91996428686946,[440.60703],449.5222706023035,467.851,480.46173,428.9945735275878
473.9115,456.03633707246274,453.8134,481.22528076171875,450.71800205882835,[442.6818],451.47202937910964,470.1121,482.8002,431.0514956757515
477.1071,458.11541675846513,455.2231,482.8856201171875,452.1950401689517,[446.53055],453.1884260388036,473.0707,485.13312,432.5150339342536
481.135,460.1430674619064,456.04272,484.8254699707031,453.8767556148038,[449.50336],454.73396228510313,475.297,487.4811,433.8830794625033
485.3774,462.3292878477521,456.7233,487.96575927734375,455.6647944594146,[450.48816],456.0872156398911,477.7623,489.81927,436.2876718805753
487.40515,464.0512308325625,458.3822,490.83197021484375,457.6864205145927,[451.87454],457.5893221917551,479.9178,492.1785,437.4321838662541
489.5632,465.77313995769686,459.75278,493.29901123046875,459.54142860672755,[453.96255],459.6342434375087,481.8175,494.55057,438.71731732229114
492.0711,467.7176989904135,461.76425,495.3983154296875,461.3486462428161,[455.6507],461.1877148014616,484.1658,496.92343,439.2921921298545
493.69876,469.55987894613014,463.80133,497.6345520019531,463.22217575705935,[457.7895],463.2413637115985,486.7015,499.30414,440.24981511044194
495.18155,471.66476556049383,464.8644,500.15338134765625,465.0305980010868,[460.50952],465.45349643866547,488.9576,501.71848,442.65652204569864
497.57462,473.8383536344535,467.363,502.4772644042969,466.7718304462466,[462.23557],467.1570607430047,491.4532,504.14212,444.5717296088008
499.77808,475.5728360681156,469.49646,505.06646728515625,468.4728323883075,[463.39954],468.95490839791904,493.9181,506.5714,445.9571991278713
502.8487,477.7621733693663,472.0556,507.0738220214844,470.45460474041346,[464.4962],471.0784466867276,496.0763,509.01602,447.22952058911574
505.12894,479.7684787941836,474.40503,509.0177001953125,472.36039333631055,[466.85516],473.4487501073533,498.3304,511.47205,449.75325461583105
507.95084,482.060384516843,476.83017,511.9237976074219,474.1592111024926,[469.73587],475.7412254912677,500.6461,513.93964,451.3202894435263
510.2984,483.89370843212976,477.18942,513.8804931640625,476.0440540463923,[471.5613],477.1011186704015,502.7303,516.41925,453.373793064995
512.351,486.2431150693643,477.8865,516.006591796875,478.37043377270953,[472.71887],478.3633400499977,504.587,518.9036,455.7474760329337
515.39453,488.089548763856,480.28586,518.0516967773438,480.2945181279594,[474.764],479.8041777253953,507.1494,521.39764,456.7404814034856
518.1611,489.63037631960606,481.98495,520.5404663085938,481.85381995836616,[477.25644],481.7851169036896,509.7001,523.9081,458.3433166340719
520.68445,491.6763452673774,483.48108,523.0220947265625,483.49101791581114,[478.7731],483.69601785216196,511.9681,526.42773,460.7078330399358
522.84106,493.4820410502091,486.12442,525.5195922851562,485.40325792334045,[480.4464],486.1592596978107,513.847,528.9513,463.02417004325076
525.4103,495.49896787401076,487.0717,528.02880859375,487.2633774788938,[482.6379],488.452864091825,516.6628,531.4781,466.87052807403484
528.4289,497.57920418590686,488.72946,530.190185546875,488.8226028163324,[484.18036],489.9087019459849,520.2001,533.99817,470.5434853577137
530.7969,499.66430341720695,491.55258,532.1553955078125,490.5519329600771,[486.79865],491.8298803639794,522.4326,536.5241,471.8237456508494
533.59607,501.4977991546973,493.43338,534.9092407226562,492.4520428796412,[489.20297],493.3000657724294,524.6246,539.0531,472.7879099149525
536.9606,503.8050756485012,496.11758,537.514892578125,494.9426066935155,[490.72754],495.41793357753545,526.2641,541.57587,475.1520260251741
540.0229,505.75060701691024,501.38443,540.048583984375,496.8315263240774,[492.50275],497.2176072447176,528.1835,544.1171,477.58130912198527
543.9068,507.6523780480058,503.1079,542.6484985351562,498.6044186974526,[494.95795],499.18513425015914,530.387,546.6666,478.9977250373413
547.19745,509.81647749227966,503.68677,544.46826171875,500.45798371827834,[496.62408],501.0022369444752,533.0703,549.2202,479.8698789565469
550.4826,511.7813547067263,507.14536,546.3800048828125,502.70102551059756,[498.8467],502.7496774337744,535.5677,551.7734,480.36501440329135
553.43884,514.1627806798602,509.2363,548.9461059570312,504.53696480247174,[501.1699],504.59217696828955,537.3215,554.3412,481.38266956348144
555.578,516.2278418164067,511.90564,552.0258178710938,506.1441198013194,[502.51978],506.46102715102296,539.2532,556.9268,481.90219260781004
557.04156,518.2858787756239,513.6327,554.31689453125,507.7677671424931,[504.47455],508.2410002233676,542.2534,559.51624,482.5816142101533
558.6019,520.091603104773,515.1567,556.2828979492188,509.639852738523,[505.9776],509.4287285518712,545.1033,562.10504,484.59910570217835
560.7517,522.3286706802656,516.0001,558.8251342773438,511.5527389256408,[507.67505],511.3467690525901,547.5518,564.7026,486.96058412637376
563.54156,524.3776937852656,517.01355,561.935302734375,513.2645607598575,[510.19073],514.1407724966432,550.3673,567.3118,488.6534862896204
566.90704,525.9257588092032,519.4552,564.2332763671875,515.1028087543815,[513.62805],515.6627056139447,552.8172,569.9221,490.02972414936886
569.68854,528.1462084435748,520.6276,566.335693359375,517.0845711846483,[515.8239],517.6893778819974,554.8347,572.5458,492.37115797419943
573.27386,530.358621206734,521.36145,569.4329833984375,519.1206622908668,[517.1298],519.932588140059,557.0898,575.182,494.6165984962916
575.6138,532.734361393475,524.75555,572.4418334960938,521.1789786190137,[519.0406],521.2754010407785,559.5905,577.8268,496.73154135342656
579.8723,534.7440099075475,526.3141,574.4794311523438,523.1042653885028,[521.32104],522.5586367041604,562.6526,580.48846,498.7768963424005
582.9854,536.5157215919653,530.31445,576.2362670898438,524.9468611650499,[523.7488],525.017506294923,566.0471,583.1734,500.39312637962735
585.61615,538.465177473072,532.92487,578.23974609375,526.7699620598736,[525.5719],526.940925250859,567.749,585.87244,503.5118439441209
589.6351,540.6292613330008,535.55206,581.1654663085938,528.7812477706217,[527.1636],528.5225360526405,570.0518,588.57794,505.9991726677891
593.0716,542.7341930104715,536.3034,583.6838989257812,530.5512334988224,[528.4902],530.471739567634,573.3237,591.284,508.60472827269876
595.34,544.7480135082826,537.78455,586.0303955078125,532.2659019784999,[531.0792],532.2361894834959,575.3605,593.99615,512.1546531388366
598.33057,546.8734397477087,539.2804,588.8167114257812,534.1724795252588,[534.03326],533.8151921379356,577.5367,596.70984,514.3616396916726
600.21173,548.8114184044896,539.7826,591.1597290039062,536.0389530577422,[535.514],535.545229138105,580.2673,599.4209,516.1779562405724
601.9013,550.7706467355135,542.19617,593.1192626953125,538.1228671546112,[536.29816],537.4564003807435,583.8132,602.1442,519.0527428071634
604.4207,552.3725171940808,545.3934,595.3565063476562,539.9410944702613,[538.3482],539.8698014077315,586.8927,604.8729,521.5546743279342
607.3021,554.6201405165003,548.25476,598.1286010742188,541.6034944475281,[540.69196],541.9304707090163,589.3709,607.6095,524.0051062811658
610.11255,556.7622539039371,551.9614,600.4967041015625,543.4154707846466,[543.2193],544.0408155258239,592.7506,610.3604,527.032529038109
611.9523,558.7195908016703,556.4037,602.3297119140625,545.2495847830661,[546.2763],546.0111542867622,594.7255,613.1174,527.6611819028359
614.2749,560.806157097491,557.17487,604.4899291992188,547.045467220318,[548.3723],547.546939309877,596.6473,615.8707,529.6684676422173
617.0393,562.6301912322922,558.5391,607.9644775390625,549.0498463451082,[549.9947],549.2010433668878,598.9825,618.65497,531.4526459851508
620.12836,565.1037860905656,560.007,610.3978881835938,551.0307029191208,[552.1113],550.6448358605538,601.5066,621.4524,532.4739400944542
623.67346,567.1817528697202,565.6914,612.57470703125,552.8001011539566,[554.87067],552.9704021728172,604.2065,624.2449,534.5578177851413
625.89325,568.9654739677522,570.1185,615.5751953125,554.6107139240912,[556.84607],554.4702974037685,606.8069,627.0419,536.0902233144116
628.94775,571.6105873831501,572.4529,618.5870971679688,556.6194169210042,[558.8867],556.4851589471908,609.7416,629.839,538.597024269588
632.7982,573.5108071911047,574.16486,620.7518920898438,558.5983761258962,[561.72504],559.0448328174595,611.6282,632.6399,540.0271255083011
635.6903,575.6877669804289,574.89655,622.6658935546875,560.2501330441089,[563.07556],560.8257418002241,615.4308,635.449,542.1590769184978
637.5801,577.9334726888997,576.5556,625.2031860351562,562.0674208856274,[564.85187],563.2624032577501,618.5833,638.2583,544.6068077870459
640.2645,579.7284432693159,580.1604,628.24267578125,564.001298885118,[567.33545],565.215165128403,620.5429,641.0747,546.764843814258
642.76624,581.4997434977946,580.7687,630.4696655273438,566.1221141748341,[569.4224],567.065931799456,622.3816,643.8918,547.9991769339415
645.47003,583.8277086261936,581.16656,632.3717651367188,568.3453614350855,[570.47955],569.140603748363,625.021,646.72986,550.6843235574685
649.0906,586.123058350038,585.03235,634.6929321289062,570.2914191518,[572.3201],571.3555330247661,627.5652,649.5745,553.4664658379764
652.4567,588.4184847888778,589.05457,637.3348388671875,572.185608404285,[573.99097],573.7862766023877,630.5267,652.42725,556.0651358207696
656.4465,590.0486520602665,590.2817,640.0989990234375,574.139218853761,[576.14215],575.0127593742073,632.8856,655.293,558.6161480972023
660.43933,591.9804006377935,592.80505,642.8099365234375,576.024999567429,[578.2368],577.1930453985767,635.8424,658.1494,561.0124099007704
663.3021,593.9838147691211,592.86896,645.5095825195312,578.0936976970895,[580.694],579.5350520346105,638.3494,661.0132,564.2258057370589
665.37616,596.2670996728123,594.18835,648.3624267578125,580.0904082127768,[582.69977],581.4587956247805,640.4257,663.8775,567.1573068189267
667.73425,598.1771429589162,598.29065,650.7718505859375,581.8869198281526,[584.16895],583.8566272342902,644.0834,666.7587,569.3299834949353
671.3436,600.2183546600526,598.93976,653.4463500976562,584.080889029565,[587.46436],585.6172640200117,648.4174,669.6413,571.664184717261
674.8037,602.5072717130649,599.07245,655.6527099609375,585.9653175063905,[590.33826],587.9023966623787,650.5728,672.54645,573.3256868118674
678.2814,604.4926350141511,601.7674,657.6227416992188,588.0697267404638,[592.9108],589.202430764477,652.5204,675.47003,575.5669135849607
680.9169311523438,606.8967900063401,,659.958740234375,,,591.2218572256451,654.6476,678.407958984375,578.2772424843698
683.3239135742188,609.1914909833729,,,,,593.628087749854,658.9404,681.3504638671875,579.4424189712425
687.0287475585938,611.1764706436138,,,,,595.7154959841946,662.1389,684.3111572265625,580.9077055162116
689.7308349609375,613.7164046117708,,,,,597.639904543198,664.0738,687.2793579101562,584.0262830288322
692.9628295898438,615.421629570521,,,,,600.3376210548857,666.2365,690.2647705078125,585.842652117835
695.394287109375,617.7676808858257,,,,,602.538963735403,669.6546,693.2613525390625,588.4308359421943
698.2008666992188,620.120838536073,,,,,604.0914361412227,673.5734,696.2703857421875,589.9174998996857
701.3463745117188,622.1429819090304,,,,,606.3401571678997,676.9332,699.2661743164062,590.2358767735944
705.0347900390625,623.8040114353355,,,,,608.2636591812851,679.9794,702.2813110351562,594.1858071730794
708.0396118164062,626.2250071900078,,,,,610.5174087787153,682.8568,705.2968139648438,598.0632025492513
710.819580078125,627.9911188013793,,,,,612.715556797452,685.3526,708.3104858398438,600.4474149278154
