Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L;UVic-ESCM-2-10
0.0;2.4479697139066747;0.35637;1.82;1.92096800138;0.98442;0.12379289543188952;0.6784;-0.012011;0.61159;-0.20884796977043152
1.0;-1.9826233769086243;0.23457;1.4;2.20645645493;0.38474;0.05596613405874237;0.8388;0.349054;0.2988699999999999;-0.26109328866004944
2.0;0.4978336588785972;0.046481;1.26;0.997317301155;0.68718;0.4476413508936092;-1.0957;1.388273;1.49735;-0.27489814162254333
3.0;-0.44902651972453744;1.0472;3.52;2.66764966295;1.0767;1.485820163269369;-0.0275;1.225627;1.1191;-0.28133320808410645
4.0;1.360020535099616;0.33519;2.31;2.1297088333;2.1198;1.355500509399084;2.128;1.354887;0.74725;-0.26318565011024475
5.0;3.067931428880833;0.97234;2.78;1.5546224352000002;1.5855;0.5439120819556003;1.9558;0.720787;1.74198;-0.23455148935317993
6.0;2.4400925273045906;1.2631;3.84;0.2958750934369999;0.79494;0.921190514585254;1.1812;0.040859;0.93396;-0.2025012969970703
7.0;0.18963898112140365;1.5338;1.16;2.2623982962;1.3975;0.49723167247109;0.4257;3.131193;2.32104;-0.1865825355052948
8.0;2.562781362204055;1.9233;0.97;2.21451767741;2.7357;1.001079652251028;0.5322;1.23096;2.91551;-0.16190527379512787
9.0;1.1318831012204715;1.8306;1.62;1.60596277809;1.725;0.6828293454119264;1.9382;1.135197;2.2227200000000003;-0.10743680596351624
10.0;3.1542304424160443;1.3777;2.16;0.7500007394760001;3.3562;1.2215339493488815;3.3929;1.648197;1.08987;-0.06823654472827911
11.0;5.90304964215233;1.4936;3.12;0.0860181406329;2.7409;2.403668805352019;1.6451;2.81993;2.5232900000000003;-0.0462120845913887
12.0;1.7187594872916172;1.7259;2.57;4.3431985416000005;2.5352;2.1554458385459867;2.3756;1.455883;3.61409;-0.006326921749860048
13.0;0.6438458832026299;1.8678;3.62;3.22325255806;2.1123;1.4132086884073847;0.8141;0.600724;3.44979;0.08710666000843048
14.0;3.358573433494093;1.923;4.48;0.520758909487;2.8795;1.9545208285353672;1.9207;1.928297;1.6845900000000005;0.12658549845218658
15.0;4.603333872351036;1.9557;1.98;2.9892856878400003;1.1391;1.9456383748669088;3.5215;2.253534;2.59536;0.1570505052804947
16.0;3.63607370979244;2.0649;2.94;3.89007133496;4.3177;1.6679291523167636;3.7098;4.342296;4.78567;0.24114757776260376
17.0;4.354113079941262;2.5149;4.1;5.44933971789;3.8269;2.145534959394112;4.4095;2.585685;3.63301;0.30637842416763306
18.0;4.600687182856417;2.666;4.93;2.81837329268;1.5738;2.9237568618692817;4.6205;3.844927;5.1237;0.38007840514183044
19.0;7.9581837733270815;2.1393;4.12;0.14768870922;3.3542;2.7256421702761724;1.5446;2.585628;5.322430000000001;0.46396005153656006
20.0;5.8921173223620364;2.6996;3.85;4.53437923083;4.6553;2.8406567516459367;3.3486;3.014287;3.63365;0.5344514846801758
21.0;5.021902785291925;2.4086;4.18;2.95116584992;4.4951;2.7196875041970467;5.0647;3.972086;1.57216;0.6215648651123047
22.0;3.693127454978105;2.9104;5.56;3.3873875822;3.8271;1.9329825321757632;5.1441;1.93122;3.48946;0.7294436693191528
23.0;5.831196821745271;3.4501;2.72;1.87284529266;5.6299;2.5811867898751584;4.031;2.956454;5.05405;0.8309240341186523
24.0;3.0744298752196393;3.2806;3.73;4.56549467666;3.8457;3.379206845540091;5.6109;4.372278;5.69095;0.9370681643486023
25.0;9.241222523951693;3.2886;3.75;4.18309391805;4.9322;2.961272980305208;5.1339;3.891723;4.91121;1.0712709426879883
26.0;6.084301583469412;3.0056;3.16;4.8276781798;6.2362;2.9536842338222464;5.3416;4.256059;3.87887;1.17787766456604
27.0;3.398993835566291;3.298;3.68;3.80147148891;7.7658;3.5498133973803867;3.403;2.894749;4.60798;1.3488670587539673
28.0;4.699218338891749;3.783;3.82;3.01626006856;6.3827;4.068300175942896;2.9195;3.583405;5.96263;1.4991397857666016
29.0;6.222162702975649;2.9021;4.43;3.9889032201;5.0817;3.640124801922176;4.9835;4.906647;6.53443;1.6343811750411987
30.0;6.413943653743518;2.6899;4.27;3.37421420347;5.3711;3.6531397917504247;3.7899;3.940603;6.0512;1.790738582611084
31.0;6.3703544984505855;2.8605;4.2;3.0590061116900005;5.0104;4.250704695835862;3.8046;5.041248;5.02883;1.977295160293579
32.0;5.484473234047648;4.1076;3.24;4.299428487759999;4.9309;3.7001968674039647;5.1004;4.375533;3.72596;2.133329391479492
33.0;12.688985559253219;3.8586;4.92;6.99929400325;4.0606;3.542337225913009;5.9095;4.050799;5.398569999999999;2.307370662689209
34.0;9.604277166820653;3.6187;3.17;4.09934905069;3.8325;3.854198509174052;5.467;4.704753;5.71615;2.4946231842041016
35.0;-1.4941434545923507;4.4874;3.69;1.28155714968;4.0123;4.1486562469586605;4.9339;4.152441;5.27257;2.650014877319336
36.0;1.0705508923195617;4.1643;3.16;4.58471063921;7.1825;3.7811779936471273;5.3674;3.54242;4.812130000000001;2.802481174468994
