Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L;UVic-ESCM-2-10
81.0;287.715740548748;288.98;289.47;289.166634637;15.46;289.23789098;288.2496;288.825247;289.58144;288.4668884277344
82.0;287.86240903253434;288.63;289.55;289.15102925900004;15.45;289.23139802;288.0738;288.774922;289.13885;288.4674377441406
83.0;288.1201075723727;288.68;289.37;289.358701203;15.41;289.13953251;287.9734;288.803925;289.18706000000003;288.465087890625
84.0;288.016090790213;288.91;289.51;289.319394592;15.55;289.1496917;288.1604;288.772821;289.30944;288.4630432128906
85.0;287.74238573884315;288.78;289.58;289.37930601200003;15.66;289.04900098;288.1868;288.755394;289.39737;288.4606628417969
86.0;287.66957305490155;288.75;289.53;289.335989249;15.51;289.17507138;288.3731;288.497295;289.5963;288.4595031738281
87.0;288.0650480923588;288.92;289.53;289.285270059;15.36;288.96255907;288.243;288.87302;289.53961;288.4582824707031
88.0;288.25307274387313;288.83;289.46;289.451623988;15.59;289.11980764;288.2163;288.737183;289.56761;288.4552001953125
89.0;288.01712838786926;288.73;289.51;289.53136511400004;15.54;289.1705135;288.086;288.791921;289.70155;288.451904296875
90.0;288.03183016842365;288.83;289.50;289.387592777;15.47;289.09380281;288.1003;288.824518;289.24954;288.4512634277344
91.0;288.01079193533286;288.75;289.24;289.388008554;15.43;289.17320934;288.0551;288.783217;289.32461;288.4492492675781
92.0;287.90520897434186;288.81;289.40;289.5676554;15.5;289.04295282;288.1667;288.690923;289.39768;288.4479064941406
93.0;287.91837760193715;288.76;289.55;289.517379446;15.46;288.79592637;288.1035;288.713248;289.62183;288.44354248046875
94.0;288.0985823957888;288.66;289.37;289.376974134;15.59;288.96374634;287.9559;288.625869;289.37303;288.4408264160156
95.0;288.192652036066;288.91;289.44;289.487747216;15.46;289.02895217;288.0759;288.845088;289.25656000000004;288.43798828125
96.0;287.82338407333583;288.93;289.53;289.45008566;15.34;288.98381344;288.1249;288.779038;289.4166;288.4369201660156
97.0;287.8007561670591;288.52;289.60;289.310491581;15.53;288.93415622;287.8612;288.597474;289.73588;288.4346923828125
98.0;287.96107863334765;288.42;289.52;289.487025591;15.7;288.89474338;287.908;288.669943;289.70729;288.4331359863281
99.0;288.0202602438731;288.64;289.49;289.461118807;15.53;288.78960953;288.1393;288.656272;289.35239;288.43011474609375
100.0;287.9160596873663;288.7;289.70;289.300589981;15.37;288.93424315;288.1801;288.776196;289.15846;288.4291076660156
101.0;287.87649076278893;288.53;289.66;289.361057881;15.51;288.92297517;288.035;288.837197;289.14606000000003;288.42657470703125
102.0;287.84941916269804;288.6;289.55;289.486025032;15.47;288.86623391;288.0353;288.653856;289.30025;288.42547607421875
103.0;287.7699004708905;288.78;289.60;289.55786515200003;15.29;288.88531786;288.1933;288.574236;289.4467;288.4232177734375
104.0;287.9082813001659;288.64;289.51;289.400485368;15.36;288.90933693;288.0829;288.733063;289.53836;288.4213562011719
105.0;287.990732856646;288.65;289.35;289.31451746;15.3;288.86280348;288.0319;288.706567;289.29696;288.41998291015625
106.0;288.0024832111516;288.84;289.45;289.52114769900004;15.29;288.92498536;287.9122;288.838802;289.34333;288.41900634765625
107.0;287.7918171085724;288.74;289.42;289.552464208;15.32;288.83729023;287.9172;288.556895;289.43848;288.4175109863281
108.0;287.8247896377355;288.54;289.30;289.464128194;15.47;288.9990965;288.0478;288.791456;289.35555;288.41741943359375
109.0;287.8944801644104;288.66;289.42;289.28297693900004;15.47;288.93777871;288.139;288.694818;289.34789;288.4158935546875
110.0;287.8631170403468;288.83;289.41;289.448394411;15.52;288.66821496;288.093;288.486225;289.35783;288.4157409667969
111.0;287.80849233130886;288.56;289.44;289.49183483900003;15.31;288.77323486;288.088;288.591081;289.50067;288.4140625
112.0;287.8919191125322;288.56;289.52;289.326870742;15.4;288.72339872;288.1152;288.576058;289.59056;288.4142150878906
113.0;288.02478035704735;288.74;289.52;289.327013576;15.36;288.81455966;288.165;288.589774;289.20333;288.4140625
114.0;287.7044528908926;288.7;289.42;289.41566809;15.39;288.95138414;287.9904;288.703002;289.23554;288.4139709472656
115.0;287.68630103542387;288.9;289.53;289.419580714;15.55;288.83303236;288.1066;288.529338;289.41057;288.4134521484375
116.0;287.78051724368584;288.67;289.49;289.451215741;15.46;288.73850424;288.0705;288.634414;289.61408;288.4121398925781
117.0;288.0026134752248;288.64;289.50;289.469101881;15.49;288.81375459;287.9287;288.682129;289.53737;288.41229248046875
118.0;287.7228599234803;288.83;289.40;289.673987732;15.43;288.8211569;288.0915;288.699971;289.21114;288.4120178222656
119.0;287.9161386986302;288.59;289.43;289.490974901;15.59;289.00703066;288.2433;288.615179;289.1977;288.4122619628906
